"General Information","General Information"
"Customer Email","Customer Email"
"Customer Nickname","Customer Nickname"
"Question","Question"
"Answer","Answer"
"Product Id","Product Id"
"Status","Status"
"Enabled","Enabled"
"Disabled","Disabled"
"Sort Order","Sort Order"
"Question Information","Question Information"
"Save Question","Save Question"
"Save and Continue Edit","Save and Continue Edit"
"Delete Question","Delete Question"
"Edit Question '%1'","Edit Question '%1'123"
"New Question","New Question"
"FAQ","FAQ"
"FAQ %1","FAQ %1"
"The question has been deleted.","The question has been deleted."
"We can\'t find a question to delete.","We can\'t find a question to delete."
"Product FAQ","Product FAQ"
"Manage Questions","Manage Questions"
"This Question no longer exists.","This Question no longer exists."
"Edit Question","Edit Question"
"A total of %1 record(s) have been deleted.","A total of %1 record(s) have been deleted."
"A total of %1 record(s) have been disabled.","A total of %1 record(s) have been disabled."
"A total of %1 record(s) have been enabled.","A total of %1 record(s) have been enabled."
"You saved this question.","You saved this question."
"Something went wrong while saving the question.","Something went wrong while saving the question."
"You submitted your question for moderation.","You submitted your question for moderation."
"Error in submitting question.","Error in submitting question."
"General Settings","General Settings"
"Enable","Enable"
"Configuration","Configuration"
"FAQ Configuration","FAQ Configuration"
"Edit","Edit"
"Delete","Delete"
"Are you sure you wan\'t to delete a ${ $.$data.question_id } record?","Are you sure you wan\'t to delete a ${ $.$data.question_id } record?"
"Delete ${ $.$data.question_id }","Delete ${ $.$data.question_id }"
"Add New Question","Add New Question"
"Disable","Disable"
"ID","ID"
"Email","Email"
"Nickname","Nickname"
"Status","Status"
"Sort Order","Sort Order"
"You're asking about:","You're asking about:"
"Submit Question","Submit Question"
"Frequently asked questions","Frequently asked questions"
"Q:","Q:"
"A:","A:"